ID,Longitude,Latitude
WB01,702899.89950,9323629.71200
WB02,702899.89950,9323679.71200
WB03,702899.89950,9323729.71200
WB04,702899.89950,9323779.71200
WB05,702899.89950,9323829.71200
WB06,702899.89950,9323879.71200
WB07,702899.89950,9323929.71200
WB08,702899.89950,9323979.71200
WB09,702899.89950,9324029.71200
WB010,702923.21090,9324070.75100
WB11,702962.49150,9324096.47500
WB12,703012.22730,9324101.60800
WB13,703061.96320,9324106.74100
WB14,703111.69910,9324111.87300
WB15,703161.43490,9324117.00600
WB16,703211.17080,9324122.13900
WB17,703260.90660,9324127.27200
WB18,703310.64250,9324132.40400
WB19,703359.99890,9324136.18000
WB20,703399.85470,9324105.98900
WB21,703418.61110,9324062.95000
WB22,703427.13800,9324013.68300
WB23,703435.66480,9323964.41500
WB24,703444.19170,9323915.14700
WB25,703452.71860,9323865.88000
WB26,703461.24540,9323816.61200
WB27,703469.77230,9323767.34500
WB28,703478.29920,9323718.07700
WB29,703486.82600,9323668.81000
WB30,703495.35290,9323619.54200
WB31,703503.87980,9323570.27500
WB32,703512.40660,9323521.00700
WB33,703520.93350,9323471.73900
WB34,703525.35100,9323422.88100
WB35,703504.61700,9323378.24500
WB36,703465.10990,9323347.59800
WB37,703425.60280,9323316.95200
WA01,702415.74010,9323137.47200
WA02,702386.20120,9323174.91900
WA03,702380.03160,9323224.53700
WA04,702373.86200,9323274.15500
WA05,702367.69240,9323323.77300
WA06,702361.52280,9323373.39100
WA07,702355.89350,9323422.99500
WA08,702370.50680,9323470.17000
WA09,702362.19490,9323519.47500
WA10,702362.04570,9323566.25300
WA11,702396.75470,9323602.24300
WA12,702440.10530,9323613.51800
WA13,702489.67840,9323606.99800
WA14,702539.25140,9323600.47700
WA15,702588.82440,9323593.95700
WA16,702638.39740,9323587.43600
WA17,702687.97040,9323580.91600
WA18,702737.54350,9323574.39600
WA19,702787.10720,9323567.80500
WA20,702836.66500,9323561.17000
WA21,702886.22290,9323554.53600
WA34,703349.07390,9323270.03100
WA35,703317.88530,9323231.65600
WA36,703280.96430,9323197.93900
WA37,703244.05410,9323164.21000
WA38,703208.53840,9323129.01600
WA39,703173.02280,9323093.82200
WA40,703151.85260,9323053.37200
